id;adjust_tutorial_video_id;content;content_content_type
1;34783;../fake-data/blob/hipster.png;image/png
2;76989;../fake-data/blob/hipster.png;image/png
3;11753;../fake-data/blob/hipster.png;image/png
4;85072;../fake-data/blob/hipster.png;image/png
5;27469;../fake-data/blob/hipster.png;image/png
6;89470;../fake-data/blob/hipster.png;image/png
7;92315;../fake-data/blob/hipster.png;image/png
8;99714;../fake-data/blob/hipster.png;image/png
9;84466;../fake-data/blob/hipster.png;image/png
10;99032;../fake-data/blob/hipster.png;image/png
